name,full_name,tally,panel,ensembl,location,uniprot,tags,OMIM,panels,panel_names,disease_group,disease_sub_group,mode_of_inheritance,confidence_level,len,pLI,pRec,pNull,%modelled
SLC25A12,solute carrier family 25 member 12,9,,ENSG00000115840,(build: 38)2:171784370-171999859,O75746,,603667,112|285|402|42|469|471|539,Cardiomyopathies - including childhood onset|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|White matter disorders,Biallelic|NA,1|2|3|4,678,0.887050482,0.112949092,4.26E-07,0.455752212
CIC,capicua transcriptional repressor,7,,ENSG00000079432,(build: 38)19:42268537-42295797,Q96RK0,,612082,285|402|42|476|484,DDG2P|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|White matter disorders,Monoallelic,1|3|4,1608,0.999902947,9.71E-05,1.47E-12,0.016791045
HEXA,hexosaminidase subunit alpha,25,,ENSG00000213614,(build: 38)15:72340919-72376476,P06865,,606869,180|20|285|402|42|467|469|471|474|477|478|484|529,Ataxia and cerebellar anomalies - narrow panel|Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Hereditary ataxia|Inborn errors of metabolism|Inherited white matter disorders|Intellectual disability|Lysosomal storage disorder|Molecular autopsy|Neurodegenerative disorders - adult onset|Structural basal ganglia disorders,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,1|3|4,529,5.05E-07,0.958913301,0.041086194,0.956521739
VPS11,"VPS11, CORVET/HOPS core subunit",3,,ENSG00000160695,(build: 38)11:119067692-119081978,Q9H270,,608549,285|402|42,Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability,Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Neurodevelopmental disorders|White matter disorders,Biallelic,0|1,941,0.223659482,0.776337724,2.79E-06,0
TUBB2B,tubulin beta 2B class IIb,9,,ENSG00000137285,(build: 38)6:3224261-3231730,Q9BVA1,,612850,285|286|402|42|477|478|484|512|96,Ataxia and cerebellar anomalies - narrow panel|Cerebellar hypoplasia|Congenital fibrosis of the extraocular muscles|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Malformations of cortical development,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Monoallelic|NA,1|3|4,445,-1,-1,-1,0.95505618
NDUFA2,NADH:ubiquinone oxidoreductase subunit A2,12,,ENSG00000131495,(build: 38)5:140638740-140647785,O43678,,602137,112|180|402|42|467|469|471|476|534|539|540,Adult onset movement disorder|Cardiomyopathies - including childhood onset|Genetic epilepsy syndromes|Inborn errors of metabolism|Inherited white matter disorders|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|White matter disorders,Biallelic,1|2|3|4,99,0.339536516,0.601199248,0.059264236,0.98989899
NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,12,,ENSG00000110717,(build: 38)11:68030617-68036644,O00217,,602141,112|285|302|402|42|469|471|476|478|484|534|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Undiagnosed metabolic disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,3|4,210,0.014174502,0.870248178,0.11557732,0.833333333
TACO1,translational activator of cytochrome c oxidase I,10,,ENSG00000136463,(build: 38)17:63600872-63608365,Q9BSH4,,612958,112|285|42|469|471|476|478|484|537|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex IV deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,1|2|3|4,297,0.357585528,0.629940944,0.012473528,0
OCRL,"OCRL, inositol polyphosphate-5-phosphatase",18,,ENSG00000122126,(build: 38)X:129539849-129592561,Q01968,,300535,106|149|150|230|234|285|292|42|469|471|476|478|484|493,CAKUT|Cardiomyopathies - including childhood onset|Cataracts|DDG2P|Fetal anomalies|Inherited white matter disorders|Intellectual disability|Molecular autopsy|Nephrocalcinosis or nephrolithiasis|Proteinuric renal disease|Rare multisystem ciliopathy disorders|Renal and urinary tract disorders|Renal tubulopathies|White matter disorders and cerebral calcification - narrow panel,Ciliopathies|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Renal and urinary tract disorders,Anterior segment abnormalities|Congenital malformations caused by ciliopathies|Disorders of function|NA|Neurodevelopmental disorders|Structural renal and urinary tract disease|Syndromes with prominent renal abnormalities|White matter disorders,NA|X-Linked,1|2|3|4,901,0.999918298,8.17E-05,4.79E-12,0.892341842
LYRM7,LYR motif containing 7,7,,ENSG00000186687,(build: 38)5:131170810-131205426,Q5U5X0,,615831,112|42|469|471|476|536|539,Cardiomyopathies - including childhood onset|Inherited white matter disorders|Mitochondrial disorder with complex III deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|NA|White matter disorders,Biallelic|Unknown,1|3|4,104,0.013501999,0.66657799,0.31992001,0
SURF1,"SURF1, cytochrome c oxidase assembly factor",18,,ENSG00000148290,(build: 38)9:133351755-133356676,Q15526,,185620,112|180|285|402|42|469|471|475|476|478|484|537|539|540,Adult onset movement disorder|Cardiomyopathies - including childhood onset|DDG2P|Dystonia - childhood onset|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex IV deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,3|4,300,1.02E-13,0.002877923,0.997122077,0
FUCA1,alpha-L-fucosidase 1,16,,ENSG00000179163,(build: 38)1:23845077-23868294,P04066,,612280,285|302|309|402|42|469|471|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Molecular autopsy|Skeletal dysplasia|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Skeletal dysplasias|Specific metabolic abnormalities|White matter disorders,Biallelic,3|4,466,3.39E-08,0.320516513,0.679483454,0
ISCA2,iron-sulfur cluster assembly 2,8,,ENSG00000165898,(build: 38)14:74493720-74497106,Q86U28,founder-effect,615317,112|285|42|469|471|531|533|539,Cardiomyopathies - including childhood onset|Inherited white matter disorders|Intellectual disability|Mitochondrial DNA maintenance disorder|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Pyruvate dehydrogenase (PDH) deficiency,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,1|3|4,154,6.27E-05,0.280417335,0.719519938,0
RNASET2,ribonuclease T2,7,,ENSG00000026297,(build: 38)6:166929504-166957191,O00584,,612944,285|402|42|469|471|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Molecular autopsy,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,2|3|4,256,0.009480406,0.94021775,0.050301844,0.90234375
SPART,spartin,5,,ENSG00000133104,(build: 38)13:36301638-36370180,Q8N0X7,,607111,165|285|42|474|568,Hereditary spastic paraplegia|Hereditary spastic paraplegia - childhood onset|Inherited white matter disorders|Intellectual disability|Neurodegenerative disorders - adult onset,NA|Neurology and neurodevelopmental disorders,Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,1|4,666,-1,-1,-1,0.154654655
HMBS,hydroxymethylbilane synthase,5,,ENSG00000256269,(build: 38)11:119084866-119093549,P08397,,609806,42|467|469|471|513,Cardiomyopathies - including childhood onset|Inborn errors of metabolism|Inherited white matter disorders|Molecular autopsy|Non-acute porphyrias,NA|Neurology and neurodevelopmental disorders,NA|White matter disorders,Biallelic|Monoallelic,1|4,361,0.944813616,0.055178178,8.21E-06,0.997229917
NAXE,NAD(P)HX epimerase,7,,ENSG00000163382,(build: 38)1:156591762-156594299,Q8NCW5,,608862,112|42|469|471|478|484|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Inherited white matter disorders|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|NA|White matter disorders,Biallelic|NA|Unknown,1|2|4,288,-1,-1,-1,0
MFF,mitochondrial fission factor,10,,ENSG00000168958,(build: 38)2:227325151-227357836,Q9GZY8,,614785,112|285|402|42|469|471|476|539,Cardiomyopathies - including childhood onset|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,1|3|4,342,0.375813389,0.623722443,0.000464167,0
ACOX1,acyl-CoA oxidase 1,8,,ENSG00000161533,(build: 38)17:75941507-75979363,Q15067,,609751,285|302|402|42|469|471|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Molecular autopsy|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,3|4,660,0.094435306,0.905495422,6.93E-05,0
UNC13D,unc-13 homolog D,6,,ENSG00000092929,(build: 38)17:75827225-75844717,Q70J99,,608897,42|476|545,Bleeding and platelet disorders|Inherited white matter disorders|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,NA|White matter disorders,Biallelic,1|4,1090,2.52E-12,0.991404986,0.008595014,0
DPYD,dihydropyrimidine dehydrogenase,5,,ENSG00000188641,(build: 38)1:97077743-97921049,Q12882,pharmacogenetics,612779,285|402|42|469|471,Cardiomyopathies - including childhood onset|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Molecular autopsy,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,3|4,1025,4.19E-09,0.996985954,0.003014042,0
NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,12,,ENSG00000023228,(build: 38)2:206114817-206159603,P28331,,157655,112|285|402|42|467|469|471|478|484|534|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inborn errors of metabolism|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,2|3|4,727,3.97E-09,0.932360002,0.067639994,0.943603851
NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,19,,ENSG00000167792,(build: 38)11:67606852-67612535,P49821,,161015,112|180|285|402|42|469|471|475|476|478|484|534|539|540,Adult onset movement disorder|Cardiomyopathies - including childhood onset|DDG2P|Dystonia - childhood onset|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,3|4,464,9.83E-05,0.94028186,0.059619887,0.926724138
NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,13,,ENSG00000178057,(build: 38)3:49020459-49023495,Q9BU61,,612911,112|285|302|402|42|469|471|476|534|539,Cardiomyopathies - including childhood onset|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Undiagnosed metabolic disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,1|2|3|4,184,4.86E-05,0.659149598,0.340801805,0
GJC2,gap junction protein gamma 2,11,,ENSG00000198835,(build: 38)1:228149852-228159826,Q5T442,,608803,165|20|285|42|474|476|478|484|568|65,DDG2P|Fetal anomalies|Hereditary ataxia|Hereditary spastic paraplegia|Hereditary spastic paraplegia - childhood onset|Inherited white matter disorders|Intellectual disability|Neurodegenerative disorders - adult onset|Primary lymphoedema|White matter disorders and cerebral calcification - narrow panel,Cardiovascular disorders|NA|Neurology and neurodevelopmental disorders,Lymphatic Disorders|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic|Both|Monoallelic,1|3|4,439,0.483282479,0.494533255,0.022184267,0
BOLA3,bolA family member 3,15,,ENSG00000163170,(build: 38)2:74135398-74147994,Q53S33,,613183,112|285|302|402|42|469|471|476|478|484|531|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Pyruvate dehydrogenase (PDH) deficiency|Undiagnosed metabolic disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,1|2|3|4,107,0.418296316,0.546834259,0.034869424,0.747663551
POLR1A,RNA polymerase I subunit A,6,,ENSG00000068654,(build: 38)2:86020216-86106155,O95602,,616404,251|309|42|478|484,DDG2P|Deafness and congenital structural abnormalities|Fetal anomalies|Inherited white matter disorders|Skeletal dysplasia,Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Deafness and congenital structural abnormalities|NA|Skeletal dysplasias|White matter disorders,Biallelic|Monoallelic,1|2|3|4,1720,0.999861746,0.000138254,9.81E-18,0
NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,12,,ENSG00000164258,(build: 38)5:53560633-53683340,O43181,,602694,112|180|285|402|42|469|471|478|484|534|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,3|4,175,0.004164996,0.862886209,0.132948795,0.668571429
HSPD1,heat shock protein family D (Hsp60) member 1,16,,ENSG00000144381,(build: 38)2:197486581-197516737,P10809,,118190,112|165|285|302|402|42|469|471|474|476|478|484|539|568,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Hereditary spastic paraplegia|Hereditary spastic paraplegia - childhood onset|Inherited white matter disorders|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Neurodegenerative disorders - adult onset|Possible mitochondrial disorder - nuclear genes|Undiagnosed metabolic disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic|Both|Monoallelic|NA|Unknown,1|2|3|4,573,0.985208244,0.01479021,1.55E-06,0.923211169
LMNB1,lamin B1,2,,ENSG00000113368,(build: 38)5:126776623-126837020,P20700,gene-duplication,150340,42,Inherited white matter disorders,Neurology and neurodevelopmental disorders,White matter disorders,Monoallelic,3,586,0.952857388,0.047137088,5.52E-06,0.377133106
ASPA,aspartoacylase,11,,ENSG00000108381,(build: 38)17:3472374-3503419,P45381,,608034,285|402|42|469|471|476|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Molecular autopsy|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|White matter disorders,Biallelic,3|4,313,0.014880157,0.875683095,0.109436748,0.996805112
ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,7,,ENSG00000171953,(build: 38)17:17977409-18039209,Q8N5M1,,608918,112|42|469|471|476|538|539,Cardiomyopathies - including childhood onset|Inherited white matter disorders|Mitochondrial disorder with complex V deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|NA|White matter disorders,Biallelic,2|3|4,289,0.001430538,0.870930742,0.12763872,0
COX10,"COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor",15,,ENSG00000006695,(build: 38)17:14069496-14208677,Q12887,,602125,112|156|180|234|285|302|402|42|469|471|478|484|537|539|540,Adult onset movement disorder|CAKUT|Cardiomyopathies - including childhood onset|DDG2P|End-stage renal disease - childhood onset|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex IV deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Renal and urinary tract disorders,Disorders of function|Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|Structural renal and urinary tract disease|White matter disorders,Biallelic|NA,1|2|3|4,0,-1,-1,-1,0
GJB1,gap junction protein beta 1,3,,ENSG00000169562,(build: 38)X:71215194-71225516,P08034,,304040,126|285|42,Hearing loss|Inherited white matter disorders|Intellectual disability,Hearing and ear disorders|Neurology and neurodevelopmental disorders,Neurodevelopmental disorders|Non-syndromic hearing loss|White matter disorders,NA|X-Linked,1|2|3,283,0.659801724,0.316547106,0.02365117,0.734982332
NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,12,,ENSG00000115286,(build: 38)19:1383527-1395589,O75251,,601825,112|180|285|302|402|42|469|471|478|484|534|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Structural basal ganglia disorders|Undiagnosed metabolic disorders,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders|Specific metabolic abnormalities|White matter disorders,Biallelic,2|3|4,213,0.750835829,0.246992095,0.002172077,0.727699531
FA2H,fatty acid 2-hydroxylase,10,,ENSG00000103089,(build: 38)16:74712955-74774831,Q7L5A8,,611026,165|285|469|471|474|475|476|568,Cardiomyopathies - including childhood onset|Dystonia - childhood onset|Hereditary spastic paraplegia|Hereditary spastic paraplegia - childhood onset|Intellectual disability|Molecular autopsy|Neurodegenerative disorders - adult onset|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic,1|2|3|4,372,0.726409724,0.273002101,0.000588175,0
MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1,5,,ENSG00000100427,(build: 38)22:50059391-50085902,Q15049,,605908,285|402|476|478|484,DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders,Biallelic,3|4,377,5.03E-05,0.870613504,0.129336216,0
MEF2C,myocyte enhancer factor 2C,5,,ENSG00000081189,(build: 38)5:88717117-88904257,Q06413,,600662,285|402|476|478|484,DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders,Monoallelic,4,473,0.004246174,0.988383683,0.007370143,0
TUBA8,tubulin alpha 8,7,,ENSG00000183785,(build: 38)22:18110331-18146554,Q9NY65,,605742,285|286|402|476|478|484|96,Cerebellar hypoplasia|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Malformations of cortical development|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic|Unknown,1|2|4,449,0.003227497,0.824934563,0.17183794,0
SCO2,"SCO2, cytochrome c oxidase assembly protein",12,,ENSG00000130489,(build: 38)22:50523568-50525606,O43819,,604272,112|285|402|467|469|471|476|478|484|49|537|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Hypertrophic cardiomyopathy - teen and adult|Inborn errors of metabolism|Intellectual disability|Mitochondrial disorder with complex IV deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Cardiovascular disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Cardiomyopathy|Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders,Biallelic|Both,1|3|4,266,0.000101907,0.356526143,0.643371949,0.62406015
NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,6,,ENSG00000137806,(build: 38)15:41387349-41402519,Q9Y375,,606934,112|469|471|476|534|539,Cardiomyopathies - including childhood onset|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA,Mitochondrial|NA,Biallelic,3|4,327,0.00389629,0.853600408,0.142503301,0
DCX,doublecortin,6,,ENSG00000077279,(build: 38)X:111293779-111412429,O43602,,300121,285|402|476|478|484|96,DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Malformations of cortical development|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders,X|X-Linked,1|3|4,365,0.863196407,0.136385112,0.000418481,0.994520548
FAM126A,family with sequence similarity 126 member A,5,,ENSG00000122591,(build: 38)7:22889371-23014130,Q9BYI3,,610531,230|285|476|478|484,Cataracts|DDG2P|Fetal anomalies|Intellectual disability|White matter disorders and cerebral calcification - narrow panel,NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders,Anterior segment abnormalities|NA|Neurodevelopmental disorders,Biallelic,3|4,521,0.803307845,0.196645833,4.63E-05,0.587332054
DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",11,,ENSG00000117593,(build: 38)1:173824503-173858546,Q6PI48,,610956,112|20|285|467|469|471|474|476|478|484|539,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Hereditary ataxia|Inborn errors of metabolism|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Neurodegenerative disorders - adult onset|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic,2|3|4,645,4.41E-09,0.940603689,0.059396307,0.936434109
D2HGDH,D-2-hydroxyglutarate dehydrogenase,8,,ENSG00000180902,(build: 38)2:241734579-241768816,Q8N465,,609186,285|302|402|469|471|476|484|539,Cardiomyopathies - including childhood onset|DDG2P|Genetic epilepsy syndromes|Intellectual disability|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|Undiagnosed metabolic disorders|White matter disorders and cerebral calcification - narrow panel,Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Specific metabolic abnormalities,Biallelic,1|3|4,521,0.000752024,0.924125442,0.075122534,0
ROBO3,roundabout guidance receptor 3,21,,ENSG00000154134,(build: 38)11:124865386-124881470,Q96MS0,,608630,112|285|286|467|469|471|477|478|484|53|539,Ataxia and cerebellar anomalies - narrow panel|Cardiomyopathies - including childhood onset|Cerebellar hypoplasia|DDG2P|Ehlers Danlos syndromes|Fetal anomalies|Inborn errors of metabolism|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes,Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Rheumatological disorders,Connective tissues disorders|Mitochondrial|Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic|NA,0|1|2|3|4,1386,0.028612011,0.971387834,1.55E-07,0
BRF1,"BRF1, RNA polymerase III transcription initiation factor subunit",5,,ENSG00000185024,(build: 38)14:105209286-105315589,Q07352,,604902,285|286|477,Ataxia and cerebellar anomalies - narrow panel|Cerebellar hypoplasia|Intellectual disability,NA|Neurology and neurodevelopmental disorders,Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic,1|4,,,,,0.023668639
TOE1,"target of EGR1, exonuclease",6,,ENSG00000132773,(build: 38)1:45339670-45343975,Q96GM8,,613931,285|286|477|478|484,Ataxia and cerebellar anomalies - narrow panel|Cerebellar hypoplasia|DDG2P|Fetal anomalies|Intellectual disability,NA|Neurology and neurodevelopmental disorders,Motor Disorders of the CNS|NA|Neurodevelopmental disorders,Biallelic,2|3|4,510,6.59E-09,0.245456544,0.754543449,0.070588235
